"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 10 12:19:18 GMT 2021","Mon May 10 12:19:18 GMT 2021","0","main.tests.suite1","test_mythings","","","","test_ffox_basic_duckduckgo_search",""
"broken","Mon May 10 12:19:18 GMT 2021","Mon May 10 12:19:18 GMT 2021","0","main.tests.suite1","test_mythings","","","","test_chrome_basic_duckduckgo_search",""
